test_time,preserved,mean_neighbor_distance,min_library_time,max_library_time,rank_correlation_to_exp023h,rank_correlation_to_exp024b
3467,False,2.7445507049560547,2682,3158,0.9977880109380006,0.9996139838604895
3468,False,2.3550074100494385,2787,3158,0.9976804264977408,0.9996843206855005
3469,False,2.217010021209717,2742,3158,0.9977699774094448,0.9990335990123314
3470,False,2.8815557956695557,2789,3158,0.9980062997151474,0.9997890509640563
3471,False,2.483168363571167,3009,3160,0.9981596609424112,0.9998958767991759
3472,False,2.820557117462158,2779,3158,0.9979784274479544,0.9993587144140613
3473,False,2.637077569961548,2606,3158,0.997635214808085,0.9987923908540726
3474,False,2.830864667892456,2608,3158,0.9978501726519539,0.9995990410498806
3475,False,2.7223544120788574,2503,3155,0.9977734149433226,0.9996044460322624
3476,False,3.0528130531311035,2828,3158,0.9980023298092144,0.9997613422145019
3477,False,3.5577549934387207,2486,3155,0.997865469393327,0.9997586138626726
3478,False,2.5262269973754883,2915,3160,0.9978520246656961,0.9995048664904828
3479,False,2.3690600395202637,3027,3160,0.9979991043082888,0.9995154242420881
3480,False,2.927368640899658,2928,3160,0.9977239068550786,0.9997720820071146
3481,False,3.4306740760803223,2938,3156,0.9977967588548768,0.9997774469560451
3482,False,2.7509539127349854,2850,3158,0.9981110348527339,0.9997696173305377
3483,False,1.714906930923462,3015,3160,0.9981885819713012,0.9997783926565008
3484,False,2.8331313133239746,2846,3158,0.9978430931612094,0.9971538944676267
3485,False,2.6304681301116943,2735,3158,0.9982756405455433,0.9996482273944085
3486,False,2.0555124282836914,2981,3160,0.9982155910197714,0.9995984286565934
3487,False,2.7472119331359863,2861,3158,0.998116861398117,0.9994076244639221
3488,False,2.731703281402588,2735,3133,0.9977981986645758,0.9992366603983088
3489,False,2.380899429321289,2850,3158,0.998076647683535,0.9994443666027842
3490,False,2.635742425918579,2884,3160,0.997853219521169,0.9996999275105833
3491,False,2.60842227935791,2592,3143,0.9973699092960395,0.9983961353737318
